molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,standard_value_norm,pIC50_values
CHEMBL1159467,O=C1O[C@H]2[C@@H]3OC(=O)c4cc(O)c(O)c(O)c4-c4c(cc(Oc5c(C(=O)O)cc(O)c(O)c5O)c(O)c4O)C(=O)OC[C@H]2O[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]3OC(=O)c2cc(O)c(O)c3c2C2C1=CC(=O)C(O)(O)C2(O)O3,16000,inactive,1120.752,-0.1998,17,31,16000,4.795880017
CHEMBL611124,O=C1OCC2OC(=O)c3cc(O)c(O)c(O)c3-c3c(O)c(O)c(O)c4c3C(=O)OC(C2OC(=O)c2cc(O)c(O)c(O)c2-c2c1cc(O)c(O)c2O)C1OC(=O)c2c-4c(O)c(O)c(O)c2[C@@H]1[C@@]1(O)O[C@@H](CO)[C@@H](O)[C@H]1O,12000,inactive,1066.748,-0.8303,19,30,12000,4.920818754
CHEMBL500292,O=C(OC[C@H]1O[C@@H](O)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,82000,inactive,788.576,0.7046,13,22,82000,4.086186148
CHEMBL491592,O=C(OC[C@H]1OC(O)[C@@](O)(COC(=O)c2cc(O)c(O)c(O)c2)[C@@H]1O)c1cc(O)c(O)c(O)c1,100000,inactive,484.366,-1.2568,9,14,100000,4
CHEMBL3215502,O=C(OC[C@@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(O)c1Oc1cc2c(c(O)c1O)-c1c(cc(O)c(O)c1O)C(=O)OC[C@@H]1O[C@@H](OC(=O)c3cc(O)c(O)c(O)c3)[C@@H](OC(=O)c3cc(O)c(O)c(O)c3)[C@@H](OC(=O)c3cc(O)c(O)c(O)c3)[C@@H]1OC2=O)c1cc(O)c(O)c(O)c1,3000,inactive,1877.33,3.7527,29,52,3000,5.522878745
CHEMBL311906,O=C(OC1C2OC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)CC2O[C@H](OC(=O)c2cc(O)c(O)c(O)c2)C1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,11000,inactive,922.666,2.0825,15,25,11000,4.958607315
CHEMBL39744,O=C(O[C@H]1[C@H](O)C[C@](O)(C(=O)O)C[C@H]1O)c1cc(O)c(O)c(O)c1,100000,inactive,344.272,-1.3399,7,9,100000,4
CHEMBL39530,O=C(O[C@H]1[C@H](O)C[C@](OC(=O)c2cc(O)c(O)c(O)c2)(C(=O)O)C[C@H]1O)c1cc(O)c(O)c(O)c1,100000,inactive,496.377,-0.3584,9,13,100000,4
CHEMBL406635,O=C1OC2C3OC(=O)c4cc(O)c(O)c(O)c4-c4c(O)c(O)c5oc(=O)c6c(c(O)c(O)c7oc(=O)c4c5c76)-c4c(cc(O)c(O)c4O)C(=O)CC3O[C@H](O)C2OC(=O)c2cc(O)c(O)c(O)c2-c2c1cc(O)c(O)c2O,8000,inactive,1068.723,2.3746,17,29,8000,5.096910013
CHEMBL80941,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)C(O)C2,100000,inactive,290.271,1.5461,5,6,100000,4
CHEMBL81753,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)C(O)[C@H]2c1c(O)cc(O)c2c1O[C@H](c1ccc(O)c(O)c1)C(O)C2,100000,inactive,578.526,2.995,10,12,100000,4
CHEMBL382408,O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,4000,inactive,940.681,1.6861,15,26,4000,5.397940009
CHEMBL289369,O=C(O)C1=C[C@@H](O)[C@@H](O)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)C1,100000,inactive,326.257,-0.5347,6,8,100000,4
